0|a0:94:d0:4c:73:41|-89|-45.0|9.04|149.0|6.0|1490958246
1|86:f6:1a:7a:a9:84|-72|-44.99|9.04|142.0|16.0|1490959820
2|7d:51:20:b2:4b:e2|-85|-44.98|9.04|131.0|16.0|1490952983
3|a5:8d:a9:fc:36:09|-81|-44.98|9.045|142.0|8.0|1490962855
4|5b:cd:a4:99:d4:3f|-90|-44.98|9.05|139.0|6.0|1490957106
5|20:a2:7c:6a:03:ee|-82|-44.97|9.04|132.0|16.0|1490968509
6|e5:a9:c8:00:ce:80|-74|-44.96|9.04|151.0|8.0|1490957676
7|d7:3f:3e:bd:2f:c7|-83|-44.96|9.05|149.0|8.0|1490955961
8|a7:1c:20:39:3c:85|-70|-44.96|9.06|150.0|6.0|1490967120
9|c9:c7:ed:72:d6:f0|-85|-45.0|9.14|132.0|16.0|1490967868
10|6d:5d:20:a2:65:bc|-80|-44.99|9.14|130.0|6.0|1490957405
11|ef:ac:14:11:91:a1|-73|-44.98|9.14|148.0|16.0|1490961891
12|77:f3:57:bb:98:ce|-74|-44.97|9.14|140.0|4.0|1490962482
13|75:a4:69:c9:a7:6c|-79|-44.96|9.14|148.0|6.0|1490964737
14|15:58:44:eb:37:c4|-89|-44.95|9.14|144.0|4.0|1490956866
15|51:b5:0d:92:84:c0|-92|-45.0|9.16|130.0|6.0|1490956542
16|a1:e3:79:1a:24:51|-87|-45.0|9.15|138.0|8.0|1490952092
17|9f:13:4f:fb:34:bc|-83|-44.99|9.24|139.0|6.0|1490966440
18|e8:78:c6:3d:c1:51|-72|-45.0|9.24|140.0|4.0|1490957670
19|8c:96:a8:59:f2:15|-70|-45.0|9.26|133.0|16.0|1490961330
20|75:ca:af:fd:c4:1b|-92|-44.99|9.26|137.0|6.0|1490958815
21|f5:aa:c4:1f:d8:00|-78|-44.98|9.26|135.0|16.0|1490965404
22|e8:e6:2d:91:44:bb|-80|-44.98|9.24|133.0|6.0|1490967304
23|16:67:c8:89:39:3b|-84|-44.96|9.26|134.0|4.0|1490968064
24|6c:95:89:f9:ac:c3|-90|-44.95|9.255|136.0|16.0|1490961640
25|f4:32:aa:2e:df:27|-89|-44.95|9.245|151.0|6.0|1490959699
26|1c:bb:9e:a0:94:2e|-88|-44.96|9.24|151.0|16.0|1490968166
27|06:28:4b:58:41:57|-83|-44.98|9.25|135.0|4.0|1490960072
28|7d:be:5c:9f:c7:eb|-77|-44.97|9.24|143.0|8.0|1490967848
29|cb:74:ee:5f:cb:ae|-92|-44.97|9.26|145.0|16.0|1490966137
30|ff:ae:c9:b3:50:98|-93|-44.99|9.34|137.0|4.0|1490968614
31|5d:c9:24:02:20:e5|-76|-45.0|9.345|147.0|12.0|1490956081
